CREDIT:, North London Waste Authority, https://www.nlwa.gov.uk/our-office, By: Abdul
Washing up liquid bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/washing-liquid-bottles,Washing up liquid bottles,"These can be recycled at home. Empty and rinse well, remove cardboard packaging but labels can be left on."
Watches,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/watches,watches,"Small household items that are in good condition could be sold or donated for reuse or to charity. There are also online organisations such as Recycling for Good Causes that accept jewellery via the post for re-sale/recycling. If the item is not reusable, it can be disposed of in your general waste bin."
Water filters,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/water-filters,water filters,"Water filters cannot be recycled and should go in your general waste. However, if you use a BRITA branded water filter you can recycle the used filters at most Argos, Robert Dyas and Homebase stores where boxes are provided for the collection of used cartridges."
Wet wipes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wet-wipes,"wet wipes, hygienic wipes, wipes, disposable wipes,","Hygiene wipes are made from fabric meshed together. For this reason, and for hygiene reasons, they cannot be recycled and should go in the general waste (not flushed down the toilet)."
White goods,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/white-goods,white goods,"If large electrical appliances are in good condition, they could be sold or donated for reuse or to charity. Some local authorities and charities might even collect reusable items from your home. If the item is not reusable, there are lots of ways to recycle it, including a free collection through Clearabee - visit our page about recycling electrical items."
White paper,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/white-paper,white paper,"This can be recycled at home. Please just make sure it has no dirt, foodstuffs, grease or paint on it."
Window glass,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/window-glass,window glass,Window glass cannot be recycled at home. Please take it to to one of north London's reuse and recycling centres (RRC).
Windowed envelopes,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/windowed-envelopes,windowed envelopes,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Wine bottles,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wine-bottles,wine bottles,All colours of glass can be recycled at home. Please just empty and rinse.
Wood,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wood,wood,"This can be recycled at one of north London's reuse and recycling centres (RRC). Alternatively, you could make use of your local council's bulky collection service."
Wood & timber,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wood-timber,wood timber,"This can be recycled at one of north London's reuse and recycling centres (RRC). Alternatively, you could make use of your local council's bulky collection service."
Wool (knitting),https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wool-knitting,wool,"If it's in good condition, wool could be sold online, taken to a charity shop or given away on Freecycle or Freegle. Alternatively, it can be deposited in one of north London's on-street textile collection banks or taken to a reuse and recycling centre (RRC) where it will be sorted and recycled."
Wrapping paper,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/wrapping-paper,wrapping paper,"As long as it is not shiny and has no glitter on it, gift paper can be recycled. If you are unsure, do the 'scrunch test': scrunch the paper in your hand and if it remains scrunched, it's okay to recycle (but if it bounces back, it is not)."
Yellow pages,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/yellow-pages,yellow pages,"These can be recycled at home. Please just make sure they have no dirt, foodstuffs, grease or paint on them."
Yogurt,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/yogurt,yogurt,"As yogurt is liquid it cannot go into your food waste bin (if your council offers a food waste service). If the yogurt is low in fat, it can be washed down the sink. However, if it is high in fat, it can be placed in a sealed container and disposed of in your general waste bin."
Yogurt pots,https://www.nlwa.gov.uk/reducereuserecycle/recycle/whatcanwerecycle/yogurt-pots,yogurt pots,These can be recycled at home. Please just give them a quick rinse to make sure there is no food left inside. Remove film lids and any cardboard packaging but labels can be left on.
